"column","dtype","missing_pct","n_unique"
"2.5.1 Қарз, кредит, насия қайси манбадан олинган? (Бошқа)","character",99.81,4
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз? (Бошқа)","character",99.62,8
"2.7.в.1 Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?  (Бошқа)","character",99.48,11
"2.2.1. Қўшимча маблағ зарур бўлганда асосан қаерга ёки кимга мурожаат қиласиз? (Бошқа манба)","character",99.34,14
"3.11.2.1 Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар? (Бошқа)","character",99.3,15
"2.2.б.1. Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (Бошқа)","character",99.2,17
"2.2.г.1 Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?(Бошқа)","character",99.16,18
"Мавжуд кредит тури: (Бошқа)","character",98.87,16
"2.2.а.1. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (Бошқа)","character",98.78,25
"2.7.б.1 Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?(Бошқа)","character",98.55,31
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди? (Бошқа)","character",98.31,33
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)","character",98.12,9
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Қарз олиш осон ва тез (онлайн олиш мумкин)","numeric",98.12,2
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Устамасиз (фоизсиз) олиш мумкин","numeric",98.12,2
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Расмий даромадга эга бўлмай туриб ҳам қарз олиш мумкин","numeric",98.12,2
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Диний сабаблар туфайли (рибо/фоиздан сақланиш)","numeric",98.12,2
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Кредит тарихи ёмонлиги учун","numeric",98.12,2
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Бошқа сабаблар","numeric",98.12,1
"1.5.1. Қуйидагилардан қайси бири сизнинг бандлик ҳолатингизни ифодалайди? (Бошқа)","character",97.37,47
"2.7.1 Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган? (Бошқа)","character",97.18,58
"1.9.1. Сиз асосан нималардан доимий даромад топасиз?  (Бошқа)","character",96.34,66
"3.7.1 Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган? (Бошқа)","character",95.96,85
"2.8.а Агар йўқ бўлса қайси мақсадда ишлатдингиз?","character",95.92,85
"3.2.1. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин? (Бошқа)","character",95.21,83
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","character",93.48,40
"Мавжуд кредит қайси банкдан олинган?","character",82.54,23
"Қўшимча респондентнинг тўлиқ исмини киритинг","character",77.05,489
"Мавжуд кредит тури:","character",77.05,8
"Респондентнинг тўлиқ исмини киритинг","character",72.83,579
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?","character",68.93,22
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?","character",68.93,27
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?","character",68.93,52
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)","character",57.48,47
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Қарз олиш осон ва тез","numeric",57.48,2
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Устамасиз (фоизсиз) олиш мумкин","numeric",57.48,2
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Расмий даромадга эга бўлмай туриб ҳам қарз олиш мумкин","numeric",57.48,2
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Диний сабаблар туфайли (рибо/фоиздан сақланиш)","numeric",57.48,2
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Кредит тарихи ёмонлиги сабабли расмий ташкилотларга мурожаат қила олмаслигим учун","numeric",57.48,2
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Банкларда кредит ставкаси ва харажатлари юқори бўлганлиги учун","numeric",57.48,2
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Бошқа сабаблар","numeric",57.48,2
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)","character",51.57,53
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Банкда шартлар аниқ ва қонуний","numeric",51.57,2
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Банк кредит тарихи шаклланади (кейинчалик фойдаси бор)","numeric",51.57,2
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Фоизлари (устамалари) бошқаларга нисбатан камроқ","numeric",51.57,2
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Банкда танишим ишлайди","numeric",51.57,2
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Йирик суммани норасмий олиш қийин","numeric",51.57,2
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Қулай ва осон (масалан, онлайн қарз олиш мумкин)","numeric",51.57,2
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Банклардан кредитни узоқ муддатга олиш мумкин","numeric",51.57,2
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Бошқа сабаблар","numeric",51.57,2
"resp","character",50.12,1063
"date_of_birth","character",50.12,1013
"oilaviy_kredit","numeric",50.12,2
"2.5. Қарз, кредит, насия қайси манбадан олинган?","character",33.6,19
"2.4.2. Таҳминан оилавий даромадингизнинг қанча қисми (неча фоизи) қарзни қайтариш учун сарфланади?","character",28.44,7
"2.4.4. Даромадингиз ойма-ой қай даражада ўзгариб туради?","character",28.44,4
"2.6. Қарз, кредит, насия нима сабабдан олинган?","character",28.44,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","character",28.44,110
"2.8 Қарз (кредит, насия) мақсадли ишлатдингизми?","character",28.44,3
"2.9. Қарз (кредит, насия) қайси кўринишда олинган?","character",28.44,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?","character",28.44,31
"3.4. Қарз (кредит, насия) олишдан аввал тузилган шартнома билан танишганмисиз?","character",28.44,3
"3.5. Қарз (кредит, насия) олишдан аввал унинг шартлари, шу жумладан, фоиз тўловларини тўлиқ тушунганмисиз?","character",28.44,3
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?","character",28.44,95
"3.8. Сизнингча қарз (кредит, насия) тўловини неча кунга кечиктириш мумкин (нормал ҳолат) деб биласиз?","character",28.44,5
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?","character",28.44,20
"3.10. Қарзларингиз (кредит, насия) кўпайиб, янги кредит олишда қийинчиликка дуч келган пайтингизда, яқинларингиз номига кредит расмийлаштирганмисиз?","character",28.44,3
"3.11. Қарз (кредит, насия) тўловлари кечиктирилган вақти 1 ойда неча маротаба эслатма юборилган?","character",28.44,4
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","character",28.44,45
"3.12 Ўз вақтида кредитни тўлаш сизнинг кредит рейтингизни ошириши мумкинлиги ҳақидаги маълумот олиш тўлов интизомини оширишга рағбатлантирадими?","character",28.44,5
"3.13 Кечикиш кредит тарихига қандай таъсир қилишини биласизми?","character",28.44,4
"3.14 Қарз (кредит, насия) олганингиздан афсусланасизми?","character",28.44,2
"3.14 Қарз олиш ва уни қайтариш маъданиятини шакллантириш билан боғлиқ таклиф ва фикрларингиз","character",28.44,872
"3.16 Респондент телефон рақами:","character",28.44,1518
"Рўйхат турини танланг:","character",27.17,3
"holat1","character",27.17,3
"kredit_turi","character",27.17,7
"1.8. 18 ёшга етмаган фарзандларингиз сони?","numeric",0.14,9
"row_id","integer",0,2131
"region","character",0,14
"district","character",0,118
"Интервьюерни танланг:","character",0,34
"Кузатув тури","character",0,2
"Ушбу сўровномада қатнашишга розимисиз?","character",0,1
"1.1. Ёшингиз:","numeric",0,58
"1.2. Респондент жинси","character",0,2
"1.3. Оилавий ҳолатингиз:","character",0,3
"1.4. Маълумотингиз:","character",0,3
"1.5. Қуйидагилардан қайси бири сизнинг бандлик ҳолатингизни ифодалайди?","character",0,9
"1.6 Уй хўжалигингиз жами аъзолари сони нечта?","numeric",0,17
"1.7. Уй хўжалигингизда неча киши даромадли меҳнат (иш) билан банд?","numeric",0,9
"1.9. Сиз асосан нималардан доимий даромад топасиз?","character",0,68
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Иш ҳақи","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Мустақил тадбиркорлик фаолияти","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Халқаро пул ўтказмалари (чет элдаги яқин қариндошидан пул юборилади)","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Пенсия ёки нафақа","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Стипендия","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Мулкни ижарага бериш","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Қишлоқ хўжалиги маҳсулотларини етиштириш ва сотиш (боғдорчилик, деҳқончилик, чорвачилик)","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Мавсумий ишлардан олинадиган даромад","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Доимий даромад манбаи мавжуд эмас","integer",0,2
"1.9. Сиз асосан нималардан доимий даромад топасиз?/бошқа турдаги даромад","integer",0,2
"1.10. Уй хўжалигингиз аъзоларининг жами ойлик даромади?","character",0,6
"1-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Кундалик харажатлар учун","character",0,2
"2-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Соғлиқни сақлаш ва таълим харажатлари учун","character",0,2
"3-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Уяли алоқа воситасини сотиб олиш учун","character",0,2
"4-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Ипотека (уй жой) хариди ва (ёки) таъмирлаш учун","character",0,2
"5-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Автомобил хариди учун","character",0,2
"6-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Тўй ёки оилавий маросимлар ўтказиш учун","character",0,2
"7-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Маиший техника, уй жиҳозлари (мебел, ошҳона жиҳозлари в.б.)","character",0,2
"8-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Бошқа қарзни тўлаш учун","character",0,2
"9-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Бизнесни йўлга қўйиш ёки кенгайтириш учун","character",0,2
"10-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Бошқа мақсадлар учун (сайёҳат, чет элда ишлаш ва ҳ.к)","character",0,2
"2.2. Қўшимча маблағ зарур бўлганда биринчи бўлиб қаерга ёки кимга мурожаат қиласиз?","character",0,9
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Молиявий ташкилотларга ишонмайман","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Кредит тузоғига тушишдан қўрқаман","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Даромадим барқарор эмас","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Жамғармаларим етарли","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Ҳужжатлар, расмийлаштириш жуда қийин","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Атрофимдагилар ёмон тажрибага эга","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Кредит шартларини тушунмайман","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Эътиқод билан боғлиқ сабаблар","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Оилам/яқинларим қарши","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Бошқа","integer",0,2
"1-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Банк ташкилотидан","integer",0,1
"2-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Расмий насия хизматларидан (“Техномарт”, “Узум”, “Ишонч” в.б.)","integer",0,1
"3-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Норасмий насия хизматидан (бозорлар, дўконлар в.б.)","integer",0,1
"4-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслардан","integer",0,1
"5-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Микромолия ташкилотлардан","integer",0,1
"6-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Ломбардлардан","integer",0,1
"7-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Оила аъзолари, дўстлар ёки танишлардан","integer",0,1
